0.001000	0.254004
0.001233	0.272331
0.001520	0.291910
0.001874	0.312823
0.002310	0.335154
0.002848	0.359004
0.003511	0.384453
0.004329	0.411605
0.005337	0.440550
0.006579	0.471381
0.008111	0.504198
0.010000	0.539081
0.012328	0.576114
0.015199	0.615377
0.018738	0.656911
0.023101	0.700764
0.028480	0.746940
0.035112	0.795416
0.043288	0.846121
0.053367	0.898917
0.065793	0.953609
0.081113	1.009890
0.100000	1.067351
0.123285	1.125436
0.151991	1.183421
0.187382	1.240386
0.231013	1.295177
0.284804	1.346387
0.351119	1.392336
0.432876	1.431079
0.533670	1.460439
0.657933	1.478100
0.811131	1.481759
1.000000	1.469369
1.232847	1.439465
1.519911	1.391536
1.873817	1.326388
2.310130	1.246365
2.848036	1.155272
3.511192	1.057921
4.328761	0.959316
5.336699	0.863728
6.579332	0.774038
8.111308	0.691599
10.000000	0.616606
12.328467	0.548639
15.199111	0.487085
18.738174	0.431330
23.101297	0.380819
28.480359	0.335060
35.111917	0.293622
43.287613	0.256130
53.366992	0.222262
65.793322	0.191743
81.113083	0.164342
100.000000	0.139862
123.284674	0.118139
151.991108	0.099022
187.381742	0.082372
231.012970	0.068038
284.803587	0.055856
351.119173	0.045632
432.876128	0.037153
533.669923	0.030186
657.933225	0.024500
811.130831	0.019876
1000.000000	0.016123
1232.846739	0.013078
1519.911083	0.010608
1873.817423	0.008604
2310.129700	0.006979
2848.035868	0.005661
3511.191734	0.004592
4328.761281	0.003725
5336.699231	0.003021
6579.332247	0.002451
8111.308308	0.001988
10000.000000	0.001612
12328.467394	0.001308
15199.110830	0.001061
18738.174229	0.000860
23101.297001	0.000698
28480.358684	0.000566
35111.917342	0.000459
43287.612811	0.000372
53366.992312	0.000302
65793.322466	0.000245
81113.083079	0.000199
100000.000000	0.000161
123284.673944	0.000131
151991.108295	0.000106
187381.742286	0.000086
231012.970008	0.000070
284803.586844	0.000057
351119.173422	0.000046
432876.128108	0.000037
533669.923121	0.000030
657933.224658	0.000025
811130.830790	0.000020
1000000.000000	0.000016
